location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Suzhou_Industrial_Park,2023,3,144,0,0.020833333333333332
Tijuana_Manufacturing,2023,1,42,102,0.023809523809523808
Tokyo,2023,0,98,46,0.0
Trafford_Centre,2023,0,144,0,0.0
Westfield_London,2023,3,142,2,0.02112676056338028
Beijing,2024,5,132,12,0.03787878787878788
Bluewater,2024,6,132,12,0.045454545454545456
Centro_Oberhausen,2024,4,144,0,0.027777777777777776
Chicago,2024,12,85,59,0.1411764705882353
Detroit_Auto,2024,4,144,0,0.027777777777777776
Galeries_Lafayette,2024,1,103,41,0.009708737864077669
Johannesburg,2024,2,144,0,0.013888888888888888
La_Maquinista,2024,3,92,52,0.03260869565217391
London,2024,4,142,2,0.028169014084507043
Los_Angeles,2024,9,65,79,0.13846153846153847
Mall_of_Asia_Manila,2024,0,136,8,0.0
Mumbai,2024,4,132,12,0.030303030303030304
New_York_City,2024,2,113,31,0.017699115044247787
Pacific_Mall_Delhi,2024,0,144,0,0.0
Paris,2024,1,103,41,0.009708737864077669
Port_of_Antwerp,2024,111,144,0,0.7708333333333334
Port_of_Busan,2024,14,8,136,1.75
Port_of_Durban,2024,23,134,10,0.17164179104477612
Port_of_Hamburg,2024,0,0,144,0.0
Port_of_Hong_Kong,2024,19,54,90,0.35185185185185186
Port_of_Houston,2024,166,141,3,1.177304964539007
Port_of_Jebel_Ali,2024,446,142,2,3.140845070422535
Port_of_Lagos,2024,21,144,0,0.14583333333333334
Port_of_Long_Beach,2024,68,65,79,1.0461538461538462
Port_of_Los_Angeles,2024,68,65,79,1.0461538461538462
Port_of_Mombasa,2024,8,144,0,0.05555555555555555
Port_of_New_York_New_Jersey,2024,60,112,32,0.5357142857142857
Port_of_Ningbo,2024,174,120,24,1.45
Port_of_Rotterdam,2024,138,142,2,0.971830985915493
Port_of_Salalah,2024,6,95,49,0.06315789473684211
Port_of_Savannah,2024,83,139,5,0.5971223021582733
Port_of_Shanghai,2024,81,88,56,0.9204545454545454
Port_of_Singapore,2024,153,144,0,1.0625
Port_of_Valencia,2024,34,40,104,0.85
Pune_Hinjawadi,2024,0,144,0,0.0
Sao_Paulo,2024,7,144,0,0.04861111111111111
Select_Citywalk,2024,0,144,0,0.0
Shenzhen_Electronics,2024,0,86,58,0.0
Suzhou_Industrial_Park,2024,8,144,0,0.05555555555555555
Tijuana_Manufacturing,2024,1,44,100,0.022727272727272728
Tokyo,2024,1,88,56,0.011363636363636364
